DateTime,"A Raymond Fasteners Pvt. Ltd Site - Measured AC Power, avg (kW)",Inverter01MeasuredDCVoltage1,"Inverter-01 - Measured DC Voltage 2, avg (V)",Inverter01MeasuredDCCurrent1,"Inverter-01 - Measured DC Current 2, avg (A)"
12-02-2023 12:15,230.599,563.32,568.5,34.756,34.352
12-02-2023 12:20,241.588,561.28,567.02,36.574,36.146
12-02-2023 12:25,235.553,562.88,563.52,35.508,35.35
12-02-2023 12:30,238.036,561.24,562.76,36.172,35.982
12-02-2023 12:35,205.808,561.88,563.04,31.672,31.456
12-02-2023 12:40,164.126,557.64,560.58,27.132,26.636
12-02-2023 12:45,137.525,569.28,572.9,20.884,20.668
12-02-2023 12:50,156.183,572.56,571.64,23.688,23.294
12-02-2023 12:55,216.959,578.78,582.02,32.066,31.88
12-02-2023 13:00,238.794,570.48,574.58,36.772,36.352
12-02-2023 13:05,239.123,560.74,562.32,37.486,37.298
12-02-2023 13:10,157.435,554.84,556.98,26.13,25.314
12-02-2023 13:15,144.792,562.66,565.5,21.964,22.038
12-02-2023 13:20,173.671,566.78,566.76,26.71,26.166
12-02-2023 13:25,111.65,568.72,570.2,17.666,17.628
12-02-2023 13:30,209.83,576.02,582.28,31.448,31.114
12-02-2023 13:35,203.882,572.42,577.34,31.906,31.518
12-02-2023 13:40,204.68,569.32,572.86,32.198,31.906
12-02-2023 13:45,176.918,570.72,570.26,25.504,26.036
12-02-2023 13:50,135.622,567.2,573.14,20.944,21.416
12-02-2023 13:55,181.467,572.12,575.88,28.85,28.528
12-02-2023 14:00,123.28,565.7,573.42,19.756,19.76
12-02-2023 14:05,164.095,580.98,578.64,24.524,24.612
12-02-2023 14:10,98.412,577.82,578.36,15.27,15.2
12-02-2023 14:15,101.277,583.8,583.4,16.012,15.85
12-02-2023 14:20,176.96,587.1,589.44,26.32,26.196
12-02-2023 14:25,204.642,581.38,584.12,32.342,32.092
12-02-2023 14:30,165.633,571.96,577.06,26.746,26.456
12-02-2023 14:35,82.569,567.58,568.74,12.888,12.976
12-02-2023 14:40,116.902,575.62,568.46,18.878,18.582
12-02-2023 14:45,62.185,572.08,568.6,11.07,11.152
12-02-2023 14:50,66.06,579.78,576.04,10.076,10.14
12-02-2023 14:55,64.533,585.82,588.58,9.876,9.824
12-02-2023 15:00,68.058,592.06,590.16,10.228,10.27
12-02-2023 15:05,61.932,597.32,595,9.32,9.362
12-02-2023 15:10,46.809,592.16,590.78,7.122,7.154
12-02-2023 15:15,45.331,592.92,588.44,6.872,6.948
12-02-2023 15:20,56.375,600.96,593.02,8.014,8.22
12-02-2023 15:25,96.901,604.16,604.16,16.06,15.818
12-02-2023 15:30,113.272,608.42,605.88,17.602,17.62
12-02-2023 15:35,94.87,607.16,600.8,14.76,14.814
12-02-2023 15:40,46.895,598.72,594.72,7.34,7.396
12-02-2023 15:45,37.683,586.72,585.46,5.746,5.782
12-02-2023 15:50,43.206,588.92,583.92,6.402,6.468
12-02-2023 15:55,53.711,601.06,599.52,8.08,8.106
12-02-2023 16:00,55.987,606.82,605.36,8.914,8.828
12-02-2023 16:05,69.963,609.98,605.94,11.338,11.438
12-02-2023 16:10,70.223,611.34,608.2,12.252,12.284
12-02-2023 16:15,63.565,605.78,605.9,11.296,11.254
12-02-2023 16:20,51.733,601.18,603.26,9.398,9.19
12-02-2023 16:25,32.289,587.9,589.32,5.416,5.398
12-02-2023 16:30,23.967,583.96,583.1,3.954,4.008
12-02-2023 16:35,20.941,578.1,578.68,3.422,3.466
12-02-2023 16:40,21.414,583.74,580.18,3.526,3.596
12-02-2023 16:45,23.166,585.84,584.3,3.87,3.92
12-02-2023 16:50,17.207,579.22,577.54,2.842,2.892
12-02-2023 16:55,19.453,583.66,582.44,3.106,3.152
12-02-2023 17:00,12.436,576.32,571.54,1.994,2.046
12-02-2023 17:05,9.54,559.48,556.22,1.586,1.63
12-02-2023 17:10,8.009,559.08,563.52,1.35,1.366
12-02-2023 17:15,5.519,542.1,541.76,0.978,1.002
12-02-2023 17:20,5.59,546,537.3,0.97,1.01
12-02-2023 17:25,4.758,540,533.66,0.854,0.886
12-02-2023 17:30,3.78,522.94,527.48,0.73,0.74
12-02-2023 17:35,2.863,513.46,527.06,0.582,0.582
12-02-2023 17:40,1.44,495.3,496.78,0.34,0.35
12-02-2023 17:45,0.76,469.64,464.48,0.246,0.264
12-02-2023 17:50,0,98.06,99.5,0.08,0.084
12-02-2023 17:55,0,0,0,0,0
12-02-2023 18:00,0,0,0,0,0
12-02-2023 18:05,0,0,0,0,0
12-02-2023 18:10,0,0,0,0,0
12-02-2023 18:15,0,0,0,0,0
12-02-2023 18:20,0,0,0,0,0
12-02-2023 18:25,0,0,0,0,0
12-02-2023 18:30,0,0,0,0,0
12-02-2023 18:35,0,0,0,0,0
12-02-2023 18:40,0,0,0,0,0
12-02-2023 18:45,0,0,0,0,0
12-02-2023 18:50,0,0,0,0,0
12-02-2023 18:55,0,0,0,0,0
12-02-2023 19:00,0,0,0,0,0
12-02-2023 19:05,0,0,0,0,0
12-02-2023 19:10,0,0,0,0,0
12-02-2023 19:15,0,0,0,0,0
12-02-2023 19:20,0,0,0,0,0
12-02-2023 19:25,0,0,0,0,0
12-02-2023 19:30,0,0,0,0,0
12-02-2023 19:35,0,0,0,0,0
12-02-2023 19:40,0,0,0,0,0
12-02-2023 19:45,0,0,0,0,0
12-02-2023 19:50,0,0,0,0,0
12-02-2023 19:55,0,0,0,0,0
12-02-2023 20:00,0,0,0,0,0
12-02-2023 20:05,0,0,0,0,0
12-02-2023 20:10,0,0,0,0,0
12-02-2023 20:15,0,0,0,0,0
12-02-2023 20:20,0,0,0,0,0
12-02-2023 20:25,0,0,0,0,0
12-02-2023 20:30,0,0,0,0,0
12-02-2023 20:35,0,0,0,0,0
12-02-2023 20:40,0,0,0,0,0
12-02-2023 20:45,0,0,0,0,0
12-02-2023 20:50,0,0,0,0,0
12-02-2023 20:55,0,0,0,0,0
12-02-2023 21:00,0,0,0,0,0
12-02-2023 21:05,0,0,0,0,0
12-02-2023 21:10,0,0,0,0,0
12-02-2023 21:15,0,0,0,0,0
12-02-2023 21:20,0,0,0,0,0
12-02-2023 21:25,0,0,0,0,0
12-02-2023 21:30,0,0,0,0,0
12-02-2023 21:35,0,0,0,0,0
12-02-2023 21:40,0,0,0,0,0
12-02-2023 21:45,0,0,0,0,0
12-02-2023 21:50,0,0,0,0,0
12-02-2023 21:55,0,0,0,0,0
12-02-2023 22:00,0,0,0,0,0
12-02-2023 22:05,0,0,0,0,0
12-02-2023 22:10,0,0,0,0,0
12-02-2023 22:15,0,0,0,0,0
12-02-2023 22:20,0,0,0,0,0
12-02-2023 22:25,0,0,0,0,0
12-02-2023 22:30,0,0,0,0,0
12-02-2023 22:35,0,0,0,0,0
12-02-2023 22:40,0,0,0,0,0
12-02-2023 22:45,0,0,0,0,0
12-02-2023 22:50,0,0,0,0,0
12-02-2023 22:55,0,0,0,0,0
12-02-2023 23:00,0,0,0,0,0
12-02-2023 23:05,0,0,0,0,0
12-02-2023 23:10,0,0,0,0,0
12-02-2023 23:15,0,0,0,0,0
12-02-2023 23:20,0,0,0,0,0
12-02-2023 23:25,0,0,0,0,0
12-02-2023 23:30,0,0,0,0,0
12-02-2023 23:35,0,0,0,0,0
12-02-2023 23:40,0,0,0,0,0
12-02-2023 23:45,0,0,0,0,0
12-02-2023 23:50,0,0,0,0,0
12-02-2023 23:55,0,0,0,0,0
